0	16532	1
0	107	1
0	13737	1
0	14394	1
1	4672	1
1	9811	1
1	8515	1
1	16873	1
1	12124	1
1	1351	1
1	9731	1
1	4497	1
1	14523	1
2	2697	1
2	8750	1
2	9131	1
2	4477	1
3	10117	1
3	8546	1
3	13391	1
3	17192	1
3	12746	1
3	2194	1
3	13286	1
3	13207	1
3	5183	1
3	7366	1
3	12936	1
3	4214	1
3	17382	1
3	6303	1
3	13280	1
3	10171	1
3	13206	1
3	6311	1
3	16365	1
3	752	1
3	16635	1
3	16352	1
3	13698	1
3	14614	1
3	17511	1
3	14380	1
3	13835	1
3	11815	1
3	14041	1
3	14255	1
3	13194	1
3	730	1
3	12254	1
3	16488	1
3	7582	1
3	14233	1
3	7378	1
3	12806	1
3	11550	1
3	9219	1
3	13615	1
3	4699	1
3	6298	1
3	9942	1
3	7579	1
3	14213	1
3	12378	1
3	12833	1
3	13559	1
3	15254	1
3	5637	1
3	15698	1
3	10241	1
3	6341	1
3	8376	1
4	17511	1
4	17276	1
4	17628	1
4	16978	1
4	16645	1
4	15158	1
4	10832	1
4	15664	1
4	14750	1
4	15629	1
4	17668	1
4	17323	1
4	16488	1
4	16035	1
4	15428	1
4	15523	1
4	17427	1
4	17057	1
4	17502	1
4	16976	1
4	10833	1
4	16747	1
4	12976	1
4	16036	1
4	7463	1
4	17243	1
4	44	1
4	16881	1
4	7579	1
4	12815	1
4	12936	1
4	1892	1
4	17537	1
4	14434	1
4	2639	1
4	16918	1
4	16222	1
4	15997	1
4	12579	1
4	17438	1
4	13206	1
4	10895	1
4	16494	1
4	15668	1
4	13835	1
4	15598	1
4	10582	1
4	11784	1
4	17194	1
4	7582	1
4	14002	1
4	17355	1
4	10171	1
4	2735	1
4	13561	1
4	15977	1
4	17504	1
4	16915	1
4	10222	1
4	16485	1
4	17354	1
4	17248	1
4	15283	1
4	16988	1
4	8065	1
4	15898	1
4	17102	1
4	8064	1
4	14233	1
4	10835	1
4	16533	1
4	11603	1
4	7714	1
4	15789	1
4	16938	1
4	2012	1
4	12833	1
4	5856	1
4	8376	1
4	16614	1
4	13733	1
4	16891	1
4	5719	1
4	17136	1
4	12700	1
4	3465	1
5	17532	1
5	7715	1
5	6791	1
5	15968	1
5	5967	1
6	5581	1
6	17121	1
6	7243	1
6	3234	1
7	17368	1
7	13644	1
7	15164	1
7	13061	1
7	4881	1
7	16196	1
7	9219	1
7	9482	1
7	17161	1
7	3558	1
7	9232	1
7	10608	1
7	15190	1
7	9744	1
7	17583	1
7	16973	1
7	1306	1
7	15853	1
7	14041	1
7	9236	1
8	12630	1
8	8056	1
